SITE_ID,SITE_NAME,AREA_NAME_SUB_DISTRICT,X_LONGITUDE,Y_LATITUDE,CITY_OR_DATI_II,AREA,BRANCH,PROVINCE,REGION,SITE_OWNERSHIP,TOWER_OWNERSHIP,COLOCATION_Y_OR_N,SITE_TYPE_GF_OR_RT_OR_MICROCELL_OR_INDOOR,HEIGHT_EXISTING_BUILDING_M,HEIGHT_TOWER_M,BTS_COVERAGE_TYPE_MACRO_OR_MICRO_OR_IBS
02PMR0024,PANE_TB,RAYA,98.9062,2.9293,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,72,MACRO
02PMR0025,AMBARISAN_TB,SIDAMANIK,98.91356,2.85803,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,72,MACRO
02PMR0026,MANIK_MARAJA_MT,SIDAMANIK,98.91516,2.86773,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,DMT,DMT,Y,GF,,72,MACRO
02PMR0027,KEBUN_BAH_BUTONG_MT,SIDAMANIK,98.92051,2.83679,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,DMT,DMT,Y,GF,,45,MACRO
02PMR0028,SIMPANGAN_BOLON_TB,DOLOK PANRIBUAN,99.00732,2.78309,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,72,MACRO
02PMR0029,MARJANDI_EMBONG_MT,PANOMBEIAN PANEI,98.9367,2.92055,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,DMT,DMT,Y,GF,,72,MACRO
02PMR0030,PANTAI_PRAPAT_ST,GIRSANG SIPANGAN BOLON,98.93286,2.66223,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,STP,STP,Y,GF,,32,MACRO
02PMR0031,TERMINAL_PRAPAT_MT,GIRSANG SIPANGAN BOLON,98.9439,2.66707,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,DMT,DMT,Y,GF,,25,MACRO
02PMR0032,TIGA_RAJA_MT,GIRSANG SIPANGAN BOLON,98.93806,2.66227,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,DMT,DMT,Y,GF,,31,MACRO
02PMR0033,ROAD_PEMATANGRAYA_ST,PANEI,98.94971,2.90923,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,STP,STP,Y,GF,,71,MACRO
02PMR0034,GIRSANG_CM,GIRSANG SIPANGAN BOLON,98.96068,2.64942,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,CMI,CMI,Y,GF,,52,MACRO
02PMR0035,PANE_TONGAH_TB,PANEI,98.96972,2.90789,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,70,MACRO
02PMR0036,TIGA_BOLON2_ST,PANEI,98.96985,2.87833,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,STP,STP,Y,GF,,71,MACRO
02PMR0037,DLPANGARIBUAN_MT,DOLOK PANRIBUAN,98.97719,2.75803,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,DMT,DMT,Y,GF,,72,MACRO
02PMR0038,SUHUT_MARAJA_EP,GIRSANG SIPANGAN BOLON,98.98742,2.63275,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,EMA,EMA,Y,GF,,90,MACRO
02PMR0039,TIGA_BOLON1_MT,SIDAMANIK,98.98789,2.86206,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,DMT,DMT,Y,GF,,72,MACRO
02PMR0040,SIANTAR_KABANJAHE_JANGGIR_PL,PANEI,98.99061,2.91006,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,54,MACRO
02PMR0041,BUNGABUNGA_PL,JORLANG HATARAN,99.00742,2.84277,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,70,MACRO
02PMR0042,SIBORNA_SIMALUNGUN_PL,PANEI,99.01331,2.90017,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,50,MACRO
02PMR0043,TALUN_KONDOT_ST,PANOMBEIAN PANEI,99.01444,2.94858,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,STP,STP,Y,GF,,42,MACRO
